,acc,precision,recall,f1
5,0.9898294806480408,0.9044146537780762,0.9055632948875427,0.9049885800574413
10,0.9868535399436951,0.9318362474441528,0.9212060570716858,0.9264906318015408
20,0.983913242816925,0.9461630582809448,0.9464219212532043,0.9462924422614434
50,0.9804468154907227,0.9551945328712463,0.9747734665870667,0.9648846885888795
100,0.9793713688850403,0.9731364250183105,0.9759942889213562,0.9745632320320291
200,0.9809135794639587,0.978990912437439,0.9854494333267212,0.9822095559926013
