depth,prec,rec,f1
6,0.82262766,0.7168749,0.7661190232327567
7,0.82516736,0.7216869,0.7699658443207237
8,0.82516736,0.7216869,0.7699658443207237
9,0.83146834,0.7229338,0.7734119611336964
10,0.82656723,0.72802097,0.7741706462323762
11,0.8232946,0.7279917,0.7727157156229819
12,0.8118341,0.734677,0.7713308028002792
