depth,prec,rec,f1
6,0.91106755 0.73873276 0.8158992791291554
7,0.96155965 0.7703694 0.8554116433034848
8,0.9827835 0.8424355 0.9072135714320785
9,0.98583823 0.8735419 0.9262990219637656
10,0.976457 0.89797634 0.9355737454353021
11,0.976443 0.9194062 0.947066575123161
12,0.98388207 0.9467126 0.9649395322976567
