depth,prec,rec,f1
6,0.99547666,0.7690538,0.8677380888291653
7,0.9928636,0.82465607,0.9009762104436917
8,0.981391,0.8794621,0.9276349425566022
9,0.99436027,0.89689034,0.9431136373938549
10,0.9783692,0.9383377,0.9579354197863056
11,0.98700476,0.96757644,0.9771940131394252
12,0.9893779,0.9764675,0.9828803390855201
