metrics,darkside,psnet,homemole,pinpoint,cnn-rnn,multitask,fsnet
prec-lan,0.9981006383895874,0.9980474710464478,0.9980767369270325,0.9998166666666667,0.88819885,0.85169834,0.9032737123833149
rec-lan,0.9956692457199096,0.9937698841094972,0.9957967400550842,0.9994866666666667,0.7527761,0.83539134,0.8664730699687688
f1-lan,0.9968834595189852,0.9959040843480872,0.9969354349013883,0.99965163943218,0.8148995039159509,0.8434660310929898,0.8844907694090105
prec-nat,0.8392834663391113,0.9975160956382751,0.9825910329818726,0.9998166666666667,0.88819885,0.85169834,0.9032737123833149
rec-nat,0.7547810673713684,0.9936814904212952,0.9474622011184692,0.48,0.7527761,0.83539134,0.8664730699687688
f1-nat,0.7947925329756994,0.9955951007299167,0.9647069277259895,0.3243050377862122,0.8148995039159509,0.8434660310929898,0.8844907694090105
prec-vpn,0.8392834663391113,0.9532665610313416,0.9539576768875122,0.9278166666666666,0.80114335,0.73947513,0.6989427401701961
rec-vpn,0.7547810673713684,0.9607115387916564,0.7845937013626099,0.4800349040139616,0.3808578,0.371743,0.3866428443061011
f1-vpn,0.7947925329756994,0.9569745702019724,0.8610262475024411,0.31635748668488206,0.5162798678900498,0.4947628196096621,0.49787177156902507
