,acc,precision,recall,f1
5,0.9977561831474304,0.9406773447990417,0.9411875605583191,0.9409323835132158
10,0.9985108971595764,0.962661623954773,0.960883378982544,0.9617716795083777
20,0.9990799427032471,0.9811718463897705,0.9744452834129333,0.9777969667180286
50,0.9992110729217529,0.9906518459320068,0.9768320918083191,0.9836934035767532
100,0.9997556209564209,0.996415913105011,0.9950070977210999,0.9957110070857851
200,0.9997892379760742,0.9984852075576782,0.9950186014175415,0.9967488903578959
